Job,Level,Nationality,Gender,Version,Similarity_Score,Filename,JD_Filename
MKT,SR,AL,F,V1,0.7749,MKT_SR_AL_F_V1.txt,JD_MKT_SR.txt
MKT,SR,AL,F,V2,0.6338,MKT_SR_AL_F_V2.txt,JD_MKT_SR.txt
MKT,SR,AL,F,V3,0.5384,MKT_SR_AL_F_V3.txt,JD_MKT_SR.txt
MKT,SR,AL,M,V1,0.7802,MKT_SR_AL_M_V1.txt,JD_MKT_SR.txt
MKT,SR,AL,M,V2,0.6412,MKT_SR_AL_M_V2.txt,JD_MKT_SR.txt
MKT,SR,AL,M,V3,0.5436,MKT_SR_AL_M_V3.txt,JD_MKT_SR.txt
MKT,SR,BR,F,V1,0.7742,MKT_SR_BR_F_V1.txt,JD_MKT_SR.txt
MKT,SR,BR,F,V2,0.6307,MKT_SR_BR_F_V2.txt,JD_MKT_SR.txt
MKT,SR,BR,F,V3,0.5417,MKT_SR_BR_F_V3.txt,JD_MKT_SR.txt
MKT,SR,BR,M,V1,0.7809,MKT_SR_BR_M_V1.txt,JD_MKT_SR.txt
MKT,SR,BR,M,V2,0.6396,MKT_SR_BR_M_V2.txt,JD_MKT_SR.txt
MKT,SR,BR,M,V3,0.5476,MKT_SR_BR_M_V3.txt,JD_MKT_SR.txt
MKT,SR,IT,F,V1,0.7568,MKT_SR_IT_F_V1.txt,JD_MKT_SR.txt
